Sample,Mixing Condition,Experiment Condition,Trial Experiment,Temp
1,1,1,1,43.7
2,1,1,1,42.9
3,1,1,1,44
4,1,1,1,44.3
5,1,1,1,44.4
6,1,1,2,33.6
7,1,1,2,32.7
8,1,1,2,34
9,1,1,2,32.9
10,1,1,2,33.1
11,1,2,1,61.5
12,1,2,1,61.9
13,1,2,1,60.8
14,1,2,1,58.8
15,1,2,1,58.2
16,1,2,2,35.2
17,1,2,2,35.4
18,1,2,2,33.8
19,1,2,2,33.9
20,1,2,2,33.1
21,2,1,1,42.1
22,2,1,1,41.3
23,2,1,1,41.8
24,2,1,1,40.9
25,2,1,1,40.1
26,2,1,2,66
27,2,1,2,66.2
28,2,1,2,65.9
29,2,1,2,64.4
30,2,1,2,65.2
31,2,2,1,46.4
32,2,2,1,47.1
33,2,2,1,45.9
34,2,2,1,45.6
35,2,2,1,44.5
36,2,2,2,67.5
37,2,2,2,68
38,2,2,2,66.4
39,2,2,2,65.8
40,2,2,2,65.3
41,3,1,1,39.1
42,3,1,1,38.4
43,3,1,1,39.7
44,3,1,1,39.5
45,3,1,1,38.3
46,3,1,2,38.6
47,3,1,2,38.1
48,3,1,2,38.8
49,3,1,2,38.8
50,3,1,2,37.2
51,3,2,1,46.5
52,3,2,1,45.6
53,3,2,1,44.5
54,3,2,1,44.1
55,3,2,1,43.2
56,3,2,2,35.9
57,3,2,2,37.3
58,3,2,2,35.4
59,3,2,2,36
60,3,2,2,35.3
61,4,1,1,41.3
62,4,1,1,40.8
63,4,1,1,41.2
64,4,1,1,40.6
65,4,1,1,40.9
66,4,1,2,41.8
67,4,1,2,40.9
68,4,1,2,41.9
69,4,1,2,41.7
70,4,1,2,41.7
71,4,2,1,49.4
72,4,2,1,50.2
73,4,2,1,48.1
74,4,2,1,47.5
75,4,2,1,46.2
76,4,2,2,42.9
77,4,2,2,43.9
78,4,2,2,41.5
79,4,2,2,40.8
80,4,2,2,39.3
